country,reason
Albania,No data in pre for pop
Albania,No data in pre for gdpcap
Albania,No data in pre for hc
Albania,No data in pre for csh_c
Albania,No data in pre for csh_i
Albania,No data in pre for csh_g
Albania,No data in pre for csh_x
Albania,No data in pre for csh_m
Albania,No data in pre for rknacapita
Algeria,No data in pre for pop
Algeria,No data in pre for gdpcap
Algeria,No data in pre for hc
Algeria,No data in pre for csh_c
Algeria,No data in pre for csh_i
Algeria,No data in pre for csh_g
Algeria,No data in pre for csh_x
Algeria,No data in pre for csh_m
Algeria,No data in pre for rknacapita
Angola,No data in pre for pop
Angola,No data in pre for gdpcap
Angola,No data in pre for hc
Angola,No data in pre for csh_c
Angola,No data in pre for csh_i
Angola,No data in pre for csh_g
Angola,No data in pre for csh_x
Angola,No data in pre for csh_m
Angola,No data in pre for rknacapita
Anguilla,No data in pre for pop
Anguilla,No data in pre for gdpcap
Anguilla,No data in pre for hc
Anguilla,No data in pre for csh_c
Anguilla,No data in pre for csh_i
Anguilla,No data in pre for csh_g
Anguilla,No data in pre for csh_x
Anguilla,No data in pre for csh_m
Anguilla,No data in pre for rknacapita
Antigua and Barbuda,No data in pre for pop
Antigua and Barbuda,No data in pre for gdpcap
Antigua and Barbuda,No data in pre for hc
Antigua and Barbuda,No data in pre for csh_c
Antigua and Barbuda,No data in pre for csh_i
Antigua and Barbuda,No data in pre for csh_g
Antigua and Barbuda,No data in pre for csh_x
Antigua and Barbuda,No data in pre for csh_m
Antigua and Barbuda,No data in pre for rknacapita
Armenia,No data in pre for pop
Armenia,No data in pre for gdpcap
Armenia,No data in pre for hc
Armenia,No data in pre for csh_c
Armenia,No data in pre for csh_i
Armenia,No data in pre for csh_g
Armenia,No data in pre for csh_x
Armenia,No data in pre for csh_m
Armenia,No data in pre for rknacapita
Aruba,No data in pre for pop
Aruba,No data in pre for gdpcap
Aruba,No data in pre for hc
Aruba,No data in pre for csh_c
Aruba,No data in pre for csh_i
Aruba,No data in pre for csh_g
Aruba,No data in pre for csh_x
Aruba,No data in pre for csh_m
Aruba,No data in pre for rknacapita
Azerbaijan,No data in pre for pop
Azerbaijan,No data in pre for gdpcap
Azerbaijan,No data in pre for hc
Azerbaijan,No data in pre for csh_c
Azerbaijan,No data in pre for csh_i
Azerbaijan,No data in pre for csh_g
Azerbaijan,No data in pre for csh_x
Azerbaijan,No data in pre for csh_m
Azerbaijan,No data in pre for rknacapita
Bahamas,No data in pre for pop
Bahamas,No data in pre for gdpcap
Bahamas,No data in pre for hc
Bahamas,No data in pre for csh_c
Bahamas,No data in pre for csh_i
Bahamas,No data in pre for csh_g
Bahamas,No data in pre for csh_x
Bahamas,No data in pre for csh_m
Bahamas,No data in pre for rknacapita
Bahrain,No data in pre for pop
Bahrain,No data in pre for gdpcap
Bahrain,No data in pre for hc
Bahrain,No data in pre for csh_c
Bahrain,No data in pre for csh_i
Bahrain,No data in pre for csh_g
Bahrain,No data in pre for csh_x
Bahrain,No data in pre for csh_m
Bahrain,No data in pre for rknacapita
Barbados,No data in pre for pop
Barbados,No data in pre for gdpcap
Barbados,No data in pre for hc
Barbados,No data in pre for csh_c
Barbados,No data in pre for csh_i
Barbados,No data in pre for csh_g
Barbados,No data in pre for csh_x
Barbados,No data in pre for csh_m
Barbados,No data in pre for rknacapita
Belarus,No data in pre for pop
Belarus,No data in pre for gdpcap
Belarus,No data in pre for hc
Belarus,No data in pre for csh_c
Belarus,No data in pre for csh_i
Belarus,No data in pre for csh_g
Belarus,No data in pre for csh_x
Belarus,No data in pre for csh_m
Belarus,No data in pre for rknacapita
Belize,No data in pre for pop
Belize,No data in pre for gdpcap
Belize,No data in pre for hc
Belize,No data in pre for csh_c
Belize,No data in pre for csh_i
Belize,No data in pre for csh_g
Belize,No data in pre for csh_x
Belize,No data in pre for csh_m
Belize,No data in pre for rknacapita
Bermuda,No data in pre for pop
Bermuda,No data in pre for gdpcap
Bermuda,No data in pre for hc
Bermuda,No data in pre for csh_c
Bermuda,No data in pre for csh_i
Bermuda,No data in pre for csh_g
Bermuda,No data in pre for csh_x
Bermuda,No data in pre for csh_m
Bermuda,No data in pre for rknacapita
Bhutan,No data in pre for pop
Bhutan,No data in pre for gdpcap
Bhutan,No data in pre for hc
Bhutan,No data in pre for csh_c
Bhutan,No data in pre for csh_i
Bhutan,No data in pre for csh_g
Bhutan,No data in pre for csh_x
Bhutan,No data in pre for csh_m
Bhutan,No data in pre for rknacapita
Bosnia and Herzegovina,No data in pre for pop
Bosnia and Herzegovina,No data in pre for gdpcap
Bosnia and Herzegovina,No data in pre for hc
Bosnia and Herzegovina,No data in pre for csh_c
Bosnia and Herzegovina,No data in pre for csh_i
Bosnia and Herzegovina,No data in pre for csh_g
Bosnia and Herzegovina,No data in pre for csh_x
Bosnia and Herzegovina,No data in pre for csh_m
Bosnia and Herzegovina,No data in pre for rknacapita
Botswana,No data in pre for pop
Botswana,No data in pre for gdpcap
Botswana,No data in pre for hc
Botswana,No data in pre for csh_c
Botswana,No data in pre for csh_i
Botswana,No data in pre for csh_g
Botswana,No data in pre for csh_x
Botswana,No data in pre for csh_m
Botswana,No data in pre for rknacapita
British Virgin Islands,No data in pre for pop
British Virgin Islands,No data in pre for gdpcap
British Virgin Islands,No data in pre for hc
British Virgin Islands,No data in pre for csh_c
British Virgin Islands,No data in pre for csh_i
British Virgin Islands,No data in pre for csh_g
British Virgin Islands,No data in pre for csh_x
British Virgin Islands,No data in pre for csh_m
British Virgin Islands,No data in pre for rknacapita
Brunei Darussalam,No data in pre for pop
Brunei Darussalam,No data in pre for gdpcap
Brunei Darussalam,No data in pre for hc
Brunei Darussalam,No data in pre for csh_c
Brunei Darussalam,No data in pre for csh_i
Brunei Darussalam,No data in pre for csh_g
Brunei Darussalam,No data in pre for csh_x
Brunei Darussalam,No data in pre for csh_m
Brunei Darussalam,No data in pre for rknacapita
Bulgaria,No data in pre for pop
Bulgaria,No data in pre for gdpcap
Bulgaria,No data in pre for hc
Bulgaria,No data in pre for csh_c
Bulgaria,No data in pre for csh_i
Bulgaria,No data in pre for csh_g
Bulgaria,No data in pre for csh_x
Bulgaria,No data in pre for csh_m
Bulgaria,No data in pre for rknacapita
Burkina Faso,No data in pre for hc
Burundi,No data in pre for pop
Burundi,No data in pre for gdpcap
Burundi,No data in pre for hc
Burundi,No data in pre for csh_c
Burundi,No data in pre for csh_i
Burundi,No data in pre for csh_g
Burundi,No data in pre for csh_x
Burundi,No data in pre for csh_m
Burundi,No data in pre for rknacapita
Cabo Verde,No data in pre for pop
Cabo Verde,No data in pre for gdpcap
Cabo Verde,No data in pre for hc
Cabo Verde,No data in pre for csh_c
Cabo Verde,No data in pre for csh_i
Cabo Verde,No data in pre for csh_g
Cabo Verde,No data in pre for csh_x
Cabo Verde,No data in pre for csh_m
Cabo Verde,No data in pre for rknacapita
Cambodia,No data in pre for pop
Cambodia,No data in pre for gdpcap
Cambodia,No data in pre for hc
Cambodia,No data in pre for csh_c
Cambodia,No data in pre for csh_i
Cambodia,No data in pre for csh_g
Cambodia,No data in pre for csh_x
Cambodia,No data in pre for csh_m
Cambodia,No data in pre for rknacapita
Cameroon,No data in pre for pop
Cameroon,No data in pre for gdpcap
Cameroon,No data in pre for hc
Cameroon,No data in pre for csh_c
Cameroon,No data in pre for csh_i
Cameroon,No data in pre for csh_g
Cameroon,No data in pre for csh_x
Cameroon,No data in pre for csh_m
Cameroon,No data in pre for rknacapita
Cayman Islands,No data in pre for pop
Cayman Islands,No data in pre for gdpcap
Cayman Islands,No data in pre for hc
Cayman Islands,No data in pre for csh_c
Cayman Islands,No data in pre for csh_i
Cayman Islands,No data in pre for csh_g
Cayman Islands,No data in pre for csh_x
Cayman Islands,No data in pre for csh_m
Cayman Islands,No data in pre for rknacapita
Central African Republic,No data in pre for pop
Central African Republic,No data in pre for gdpcap
Central African Republic,No data in pre for hc
Central African Republic,No data in pre for csh_c
Central African Republic,No data in pre for csh_i
Central African Republic,No data in pre for csh_g
Central African Republic,No data in pre for csh_x
Central African Republic,No data in pre for csh_m
Central African Republic,No data in pre for rknacapita
Chad,No data in pre for pop
Chad,No data in pre for gdpcap
Chad,No data in pre for hc
Chad,No data in pre for csh_c
Chad,No data in pre for csh_i
Chad,No data in pre for csh_g
Chad,No data in pre for csh_x
Chad,No data in pre for csh_m
Chad,No data in pre for rknacapita
"China, Hong Kong SAR",No data in pre for pop
"China, Hong Kong SAR",No data in pre for gdpcap
"China, Hong Kong SAR",No data in pre for hc
"China, Hong Kong SAR",No data in pre for csh_c
"China, Hong Kong SAR",No data in pre for csh_i
"China, Hong Kong SAR",No data in pre for csh_g
"China, Hong Kong SAR",No data in pre for csh_x
"China, Hong Kong SAR",No data in pre for csh_m
"China, Hong Kong SAR",No data in pre for rknacapita
"China, Macao SAR",No data in pre for pop
"China, Macao SAR",No data in pre for gdpcap
"China, Macao SAR",No data in pre for hc
"China, Macao SAR",No data in pre for csh_c
"China, Macao SAR",No data in pre for csh_i
"China, Macao SAR",No data in pre for csh_g
"China, Macao SAR",No data in pre for csh_x
"China, Macao SAR",No data in pre for csh_m
"China, Macao SAR",No data in pre for rknacapita
Comoros,No data in pre for pop
Comoros,No data in pre for gdpcap
Comoros,No data in pre for hc
Comoros,No data in pre for csh_c
Comoros,No data in pre for csh_i
Comoros,No data in pre for csh_g
Comoros,No data in pre for csh_x
Comoros,No data in pre for csh_m
Comoros,No data in pre for rknacapita
Congo,No data in pre for pop
Congo,No data in pre for gdpcap
Congo,No data in pre for hc
Congo,No data in pre for csh_c
Congo,No data in pre for csh_i
Congo,No data in pre for csh_g
Congo,No data in pre for csh_x
Congo,No data in pre for csh_m
Congo,No data in pre for rknacapita
Cote d'Ivoire,No data in pre for pop
Cote d'Ivoire,No data in pre for gdpcap
Cote d'Ivoire,No data in pre for hc
Cote d'Ivoire,No data in pre for csh_c
Cote d'Ivoire,No data in pre for csh_i
Cote d'Ivoire,No data in pre for csh_g
Cote d'Ivoire,No data in pre for csh_x
Cote d'Ivoire,No data in pre for csh_m
Cote d'Ivoire,No data in pre for rknacapita
Croatia,No data in pre for pop
Croatia,No data in pre for gdpcap
Croatia,No data in pre for hc
Croatia,No data in pre for csh_c
Croatia,No data in pre for csh_i
Croatia,No data in pre for csh_g
Croatia,No data in pre for csh_x
Croatia,No data in pre for csh_m
Croatia,No data in pre for rknacapita
Curacao,No data in pre for pop
Curacao,No data in pre for gdpcap
Curacao,No data in pre for hc
Curacao,No data in pre for csh_c
Curacao,No data in pre for csh_i
Curacao,No data in pre for csh_g
Curacao,No data in pre for csh_x
Curacao,No data in pre for csh_m
Curacao,No data in pre for rknacapita
Czech Republic,No data in pre for pop
Czech Republic,No data in pre for gdpcap
Czech Republic,No data in pre for hc
Czech Republic,No data in pre for csh_c
Czech Republic,No data in pre for csh_i
Czech Republic,No data in pre for csh_g
Czech Republic,No data in pre for csh_x
Czech Republic,No data in pre for csh_m
Czech Republic,No data in pre for rknacapita
Djibouti,No data in pre for pop
Djibouti,No data in pre for gdpcap
Djibouti,No data in pre for hc
Djibouti,No data in pre for csh_c
Djibouti,No data in pre for csh_i
Djibouti,No data in pre for csh_g
Djibouti,No data in pre for csh_x
Djibouti,No data in pre for csh_m
Djibouti,No data in pre for rknacapita
Dominica,No data in pre for pop
Dominica,No data in pre for gdpcap
Dominica,No data in pre for hc
Dominica,No data in pre for csh_c
Dominica,No data in pre for csh_i
Dominica,No data in pre for csh_g
Dominica,No data in pre for csh_x
Dominica,No data in pre for csh_m
Dominica,No data in pre for rknacapita
Equatorial Guinea,No data in pre for pop
Equatorial Guinea,No data in pre for gdpcap
Equatorial Guinea,No data in pre for hc
Equatorial Guinea,No data in pre for csh_c
Equatorial Guinea,No data in pre for csh_i
Equatorial Guinea,No data in pre for csh_g
Equatorial Guinea,No data in pre for csh_x
Equatorial Guinea,No data in pre for csh_m
Equatorial Guinea,No data in pre for rknacapita
Estonia,No data in pre for pop
Estonia,No data in pre for gdpcap
Estonia,No data in pre for hc
Estonia,No data in pre for csh_c
Estonia,No data in pre for csh_i
Estonia,No data in pre for csh_g
Estonia,No data in pre for csh_x
Estonia,No data in pre for csh_m
Estonia,No data in pre for rknacapita
Eswatini,No data in pre for pop
Eswatini,No data in pre for gdpcap
Eswatini,No data in pre for hc
Eswatini,No data in pre for csh_c
Eswatini,No data in pre for csh_i
Eswatini,No data in pre for csh_g
Eswatini,No data in pre for csh_x
Eswatini,No data in pre for csh_m
Eswatini,No data in pre for rknacapita
Ethiopia,No data in pre for hc
Fiji,No data in pre for pop
Fiji,No data in pre for gdpcap
Fiji,No data in pre for hc
Fiji,No data in pre for csh_c
Fiji,No data in pre for csh_i
Fiji,No data in pre for csh_g
Fiji,No data in pre for csh_x
Fiji,No data in pre for csh_m
Fiji,No data in pre for rknacapita
Gabon,No data in pre for pop
Gabon,No data in pre for gdpcap
Gabon,No data in pre for hc
Gabon,No data in pre for csh_c
Gabon,No data in pre for csh_i
Gabon,No data in pre for csh_g
Gabon,No data in pre for csh_x
Gabon,No data in pre for csh_m
Gabon,No data in pre for rknacapita
Gambia,No data in pre for pop
Gambia,No data in pre for gdpcap
Gambia,No data in pre for hc
Gambia,No data in pre for csh_c
Gambia,No data in pre for csh_i
Gambia,No data in pre for csh_g
Gambia,No data in pre for csh_x
Gambia,No data in pre for csh_m
Gambia,No data in pre for rknacapita
Georgia,No data in pre for pop
Georgia,No data in pre for gdpcap
Georgia,No data in pre for hc
Georgia,No data in pre for csh_c
Georgia,No data in pre for csh_i
Georgia,No data in pre for csh_g
Georgia,No data in pre for csh_x
Georgia,No data in pre for csh_m
Georgia,No data in pre for rknacapita
Grenada,No data in pre for pop
Grenada,No data in pre for gdpcap
Grenada,No data in pre for hc
Grenada,No data in pre for csh_c
Grenada,No data in pre for csh_i
Grenada,No data in pre for csh_g
Grenada,No data in pre for csh_x
Grenada,No data in pre for csh_m
Grenada,No data in pre for rknacapita
Guinea,No data in pre for hc
Guinea-Bissau,No data in pre for pop
Guinea-Bissau,No data in pre for gdpcap
Guinea-Bissau,No data in pre for hc
Guinea-Bissau,No data in pre for csh_c
Guinea-Bissau,No data in pre for csh_i
Guinea-Bissau,No data in pre for csh_g
Guinea-Bissau,No data in pre for csh_x
Guinea-Bissau,No data in pre for csh_m
Guinea-Bissau,No data in pre for rknacapita
Guyana,No data in pre for pop
Guyana,No data in pre for gdpcap
Guyana,No data in pre for hc
Guyana,No data in pre for csh_c
Guyana,No data in pre for csh_i
Guyana,No data in pre for csh_g
Guyana,No data in pre for csh_x
Guyana,No data in pre for csh_m
Guyana,No data in pre for rknacapita
Haiti,No data in pre for pop
Haiti,No data in pre for gdpcap
Haiti,No data in pre for hc
Haiti,No data in pre for csh_c
Haiti,No data in pre for csh_i
Haiti,No data in pre for csh_g
Haiti,No data in pre for csh_x
Haiti,No data in pre for csh_m
Haiti,No data in pre for rknacapita
Hungary,No data in pre for pop
Hungary,No data in pre for gdpcap
Hungary,No data in pre for hc
Hungary,No data in pre for csh_c
Hungary,No data in pre for csh_i
Hungary,No data in pre for csh_g
Hungary,No data in pre for csh_x
Hungary,No data in pre for csh_m
Hungary,No data in pre for rknacapita
Indonesia,No data in pre for pop
Indonesia,No data in pre for gdpcap
Indonesia,No data in pre for hc
Indonesia,No data in pre for csh_c
Indonesia,No data in pre for csh_i
Indonesia,No data in pre for csh_g
Indonesia,No data in pre for csh_x
Indonesia,No data in pre for csh_m
Indonesia,No data in pre for rknacapita
Iraq,No data in pre for pop
Iraq,No data in pre for gdpcap
Iraq,No data in pre for hc
Iraq,No data in pre for csh_c
Iraq,No data in pre for csh_i
Iraq,No data in pre for csh_g
Iraq,No data in pre for csh_x
Iraq,No data in pre for csh_m
